# 51842 of 51842
# Minimum x: 0
# Minimum y: 0
# Minimum z: 0
# Maximum x: 141.0981
# Maximum y: 176.00237
# Maximum z: 130.5685
# <local id> <pos x> <pos y> <pos z> <type>
# Number of local subdomains: 1
# Local subdomain 0 boundaries (0, 0, 0) - (141.0981, 176.00237, 130.5685)
# ID, Position (x y z), type 
202 15.039400 78.251770 44.318270 ex
203 13.197920 66.652990 54.314840 ex
204 7.576150 70.880560 49.742510 ex
205 5.054150 61.961340 68.471200 ex
206 6.799860 62.687510 66.622930 ex
207 4.289160 63.298940 68.915700 ex
208 4.629590 60.695620 69.401720 ex
209 11.504050 61.475280 66.167610 ex
210 20.327030 74.006080 51.157710 ex
211 20.265940 73.976900 50.927640 ex
212 19.808960 73.959200 51.643280 ex
213 21.362400 62.671520 33.863910 ex
214 9.311530 67.775440 47.722150 ex
215 3.745360 73.208280 40.366030 ex
216 11.286600 78.567640 45.878500 ex
217 25.431020 78.217150 60.184610 ex
218 25.475150 78.220580 60.159520 ex
219 8.181380 65.866460 55.249840 ex
220 11.255930 67.168610 54.752190 ex
221 7.787100 67.195790 54.794810 ex
222 7.870480 64.285820 55.836880 ex
223 3.634580 63.258080 70.126870 ex
224 3.864430 64.449850 67.624740 ex
225 13.536110 60.737140 64.541250 ex
226 11.875840 61.467480 64.582520 ex
227 10.943810 68.713220 54.257120 ex
228 9.259000 68.853130 53.986920 ex
229 6.027440 67.287280 54.562130 ex
230 18.511200 67.534890 53.379020 ex
231 15.880990 67.299560 53.971610 ex
232 14.206590 77.925860 48.666910 ex
233 14.402020 77.593890 49.565120 ex
234 19.886770 66.963410 53.052670 ex
235 18.831370 69.263370 53.601300 ex
236 15.177460 77.809150 45.370380 ex
237 8.124980 80.087250 46.284290 ex
238 10.860900 79.558570 45.071530 ex
239 7.057580 81.080290 45.892330 ex
240 13.039120 77.822460 49.363580 ex
241 27.020740 85.649250 48.924530 ex
242 25.850730 88.279210 49.745190 ex
243 15.741130 92.687290 49.700330 ex
244 16.315120 93.304920 49.471750 ex
245 14.366880 67.183800 54.216830 ex
246 16.127400 68.812430 54.284040 ex
247 14.613290 68.696660 54.529290 ex
248 8.420120 62.284910 65.792720 ex
249 11.232500 61.893450 63.756750 ex
250 14.116720 61.567630 61.024030 ex
251 9.667020 62.143000 63.963530 ex
252 11.628140 61.485660 62.453440 ex
253 22.590060 67.565400 33.088780 ex
254 21.596980 61.164210 35.697880 ex
255 9.135600 67.333970 47.464760 ex
256 8.901840 72.269020 36.165560 ex
257 61.426660 75.597910 50.095910 ex
258 25.844040 67.075720 69.000170 ex
259 27.452800 72.289210 66.513440 ex
